State,State_abbrev,Year,Beer (Per capita consumption),Wine (Per capita consumption),Spirits (Per capita consumption),All beverages (Per capita consumption)
Idaho,ID,1984,1.41,0.31,0.72,2.45
Idaho,ID,1983,1.45,0.3,0.77,2.52
Idaho,ID,1982,1.45,0.3,0.81,2.57
Idaho,ID,1981,1.54,0.33,0.83,2.69
Idaho,ID,1980,1.53,0.3,0.77,2.59
Idaho,ID,1979,1.51,0.27,0.82,2.6
Idaho,ID,1978,1.46,0.25,0.78,2.5
Idaho,ID,1977,1.47,0.22,0.78,2.47
Illinois,IL,2016,1.12,0.43,0.77,2.32
Illinois,IL,2015,1.13,0.43,0.8,2.36
Illinois,IL,2014,1.12,0.42,0.78,2.32
Illinois,IL,2013,1.13,0.42,0.78,2.33
Illinois,IL,2012,1.15,0.43,0.77,2.36
Illinois,IL,2011,1.19,0.41,0.75,2.35
Illinois,IL,2010,1.22,0.4,0.74,2.35
Illinois,IL,2009,1.24,0.39,0.73,2.36
Illinois,IL,2008,1.23,0.38,0.74,2.34
Illinois,IL,2007,1.24,0.41,0.74,2.38
Illinois,IL,2006,1.24,0.37,0.74,2.35
Illinois,IL,2005,1.23,0.34,0.71,2.29
Illinois,IL,2004,1.24,0.32,0.67,2.22
Illinois,IL,2003,1.26,0.35,0.74,2.36
Illinois,IL,2002,1.28,0.33,0.65,2.26
Illinois,IL,2001,1.27,0.32,0.68,2.28
Illinois,IL,2000,1.28,0.32,0.63,2.24
Illinois,IL,1999,1.29,0.33,0.66,2.27
Illinois,IL,1998,1.27,0.34,0.64,2.25
Illinois,IL,1997,1.26,0.35,0.65,2.26
Illinois,IL,1996,1.27,0.35,0.68,2.3
Illinois,IL,1995,1.3,0.33,0.66,2.29
Illinois,IL,1994,1.32,0.34,0.69,2.35
Illinois,IL,1993,1.32,0.34,0.72,2.38
Illinois,IL,1992,1.34,0.35,0.74,2.43
Illinois,IL,1991,1.38,0.34,0.76,2.48
Illinois,IL,1990,1.43,0.36,0.82,2.62
Illinois,IL,1989,1.42,0.36,0.85,2.63
Illinois,IL,1988,1.45,0.38,0.87,2.7
Illinois,IL,1987,1.43,0.39,0.88,2.71
Illinois,IL,1986,1.42,0.39,0.91,2.72
Illinois,IL,1985,1.39,0.38,0.99,2.76
Illinois,IL,1984,1.41,0.37,1.02,2.8
Illinois,IL,1983,1.43,0.35,1.03,2.82
Illinois,IL,1982,1.42,0.35,1.07,2.84
Illinois,IL,1981,1.44,0.35,1.12,2.91
Illinois,IL,1980,1.42,0.33,1.23,2.99
Illinois,IL,1979,1.42,0.32,1.15,2.89
Illinois,IL,1978,1.35,0.31,1.17,2.83
Illinois,IL,1977,1.32,0.3,1.2,2.82
Indiana,IN,2016,0.98,0.29,0.89,2.17
Indiana,IN,2015,0.98,0.28,0.88,2.14
Indiana,IN,2014,0.98,0.27,0.8,2.05
Indiana,IN,2013,1,0.28,0.81,2.09
Indiana,IN,2012,1.02,0.28,0.79,2.08
Indiana,IN,2011,1.02,0.27,0.73,2.02
Indiana,IN,2010,1.03,0.26,0.74,2.03
Indiana,IN,2009,1.08,0.25,0.72,2.05
Indiana,IN,2008,1.1,0.24,0.73,2.08
Indiana,IN,2007,1.13,0.24,0.72,2.09
Indiana,IN,2006,1.09,0.25,0.66,2
Indiana,IN,2005,1.11,0.22,0.68,2.01
Indiana,IN,2004,1.14,0.22,0.65,2.01
Indiana,IN,2003,1.11,0.21,0.64,1.96
Indiana,IN,2002,1.13,0.2,0.6,1.93
Indiana,IN,2001,1.15,0.19,0.62,1.96
Indiana,IN,2000,1.16,0.2,0.61,1.98
Indiana,IN,1999,1.16,0.19,0.59,1.94
Indiana,IN,1998,1.14,0.19,0.58,1.91
Indiana,IN,1997,1.09,0.18,0.59,1.85
Indiana,IN,1996,1.09,0.2,0.57,1.86
Indiana,IN,1995,1.14,0.2,0.58,1.92
Indiana,IN,1994,1.15,0.2,0.59,1.94
Indiana,IN,1993,1.15,0.19,0.64,1.98
Indiana,IN,1992,1.16,0.2,0.58,1.95
Indiana,IN,1991,1.22,0.19,0.6,2
Indiana,IN,1990,1.26,0.2,0.63,2.09
Indiana,IN,1989,1.23,0.2,0.64,2.07
Indiana,IN,1988,1.25,0.21,0.67,2.13
Indiana,IN,1987,1.26,0.23,0.67,2.16
Indiana,IN,1986,1.26,0.23,0.67,2.17
Indiana,IN,1985,1.26,0.22,0.73,2.2
Indiana,IN,1984,1.27,0.21,0.73,2.21
Indiana,IN,1983,1.28,0.19,0.73,2.2
Indiana,IN,1982,1.29,0.19,0.76,2.24
Indiana,IN,1981,1.29,0.18,0.78,2.24
Indiana,IN,1980,1.26,0.17,0.77,2.21
Indiana,IN,1979,1.21,0.15,0.78,2.15
Indiana,IN,1978,1.18,0.15,0.78,2.12
Indiana,IN,1977,1.13,0.14,0.77,2.03
Iowa,IA,2016,1.3,0.23,0.87,2.4
Iowa,IA,2015,1.31,0.22,0.83,2.36
Iowa,IA,2014,1.34,0.21,0.81,2.37
Iowa,IA,2013,1.33,0.22,0.79,2.34
Iowa,IA,2012,1.36,0.23,0.81,2.4
Iowa,IA,2011,1.38,0.21,0.78,2.37
Iowa,IA,2010,1.39,0.18,0.73,2.3
Iowa,IA,2009,1.42,0.18,0.72,2.31
Iowa,IA,2008,1.43,0.17,0.7,2.3
Iowa,IA,2007,1.41,0.17,0.67,2.25
Iowa,IA,2006,1.39,0.16,0.65,2.2
Iowa,IA,2005,1.4,0.16,0.61,2.16
Iowa,IA,2004,1.39,0.16,0.57,2.12
Iowa,IA,2003,1.38,0.15,0.54,2.07
Iowa,IA,2002,1.38,0.14,0.51,2.04
Iowa,IA,2001,1.36,0.13,0.5,1.99
Iowa,IA,2000,1.35,0.13,0.5,1.98
Iowa,IA,1999,1.34,0.13,0.48,1.95
Iowa,IA,1998,1.31,0.12,0.46,1.9
Iowa,IA,1997,1.28,0.12,0.45,1.85
Iowa,IA,1996,1.28,0.12,0.45,1.85
Iowa,IA,1995,1.26,0.11,0.44,1.8
Iowa,IA,1994,1.3,0.1,0.44,1.84
Iowa,IA,1993,1.28,0.11,0.48,1.87
Iowa,IA,1992,1.31,0.13,0.46,1.9
Iowa,IA,1991,1.32,0.16,0.52,2.01
Iowa,IA,1990,1.34,0.18,0.54,2.06
Iowa,IA,1989,1.3,0.19,0.52,2.01
Iowa,IA,1988,1.32,0.2,0.53,2.06
Iowa,IA,1987,1.34,0.22,0.59,2.14
Iowa,IA,1986,1.35,0.2,0.54,2.09
Iowa,IA,1985,1.33,0.14,0.58,2.06
Iowa,IA,1984,1.39,0.12,0.62,2.13
Iowa,IA,1983,1.4,0.13,0.65,2.18
Iowa,IA,1982,1.4,0.13,0.65,2.19
Iowa,IA,1981,1.44,0.13,0.69,2.26
Iowa,IA,1980,1.41,0.13,0.71,2.25
Iowa,IA,1979,1.4,0.11,0.71,2.22
Iowa,IA,1978,1.38,0.11,0.74,2.23
Iowa,IA,1977,1.33,0.1,0.74,2.17
Kansas,KS,2016,1.02,0.14,0.75,1.92
Kansas,KS,2015,1.03,0.14,0.74,1.91
Kansas,KS,2014,1.04,0.14,0.75,1.93
Kansas,KS,2013,0.99,0.14,0.76,1.88
Kansas,KS,2012,1.09,0.14,0.72,1.95
Kansas,KS,2011,1.07,0.14,0.69,1.9
Kansas,KS,2010,1.13,0.14,0.68,1.95
Kansas,KS,2009,1.18,0.14,0.67,1.99
Kansas,KS,2008,1.22,0.14,0.65,2.01
Kansas,KS,2007,1.17,0.15,0.64,1.96
Kansas,KS,2006,1.14,0.18,0.61,1.94
Kansas,KS,2005,1.14,0.18,0.57,1.89
Kansas,KS,2004,1.14,0.16,0.56,1.86
Kansas,KS,2003,1.16,0.17,0.56,1.89
Kansas,KS,2002,1.19,0.15,0.54,1.88
Kansas,KS,2001,1.12,0.15,0.53,1.8
Kansas,KS,2000,1.13,0.15,0.53,1.82
Kansas,KS,1999,1.12,0.15,0.54,1.81
Kansas,KS,1998,1.08,0.13,0.54,1.76
Kansas,KS,1997,1.07,0.12,0.48,1.67
Kansas,KS,1996,1.04,0.12,0.49,1.65
Kansas,KS,1995,1.04,0.12,0.5,1.66
Kansas,KS,1994,1.12,0.13,0.48,1.73
Kansas,KS,1993,1.09,0.14,0.52,1.75
Kansas,KS,1992,1.09,0.14,0.55,1.78
Kansas,KS,1991,1.15,0.14,0.57,1.85
Kansas,KS,1990,1.13,0.13,0.53,1.79
Kansas,KS,1989,1.13,0.13,0.55,1.81
Kansas,KS,1988,1.13,0.22,0.57,1.92
Kansas,KS,1987,1.14,0.17,0.57,1.88
Kansas,KS,1986,1.14,0.17,0.6,1.91
Kansas,KS,1985,1.18,0.15,0.64,1.97
Kansas,KS,1984,1.19,0.14,0.63,1.96
Kansas,KS,1983,1.2,0.13,0.64,1.97
Kansas,KS,1982,1.22,0.13,0.67,2.03
Kansas,KS,1981,1.23,0.12,0.7,2.05
Kansas,KS,1980,1.22,0.11,0.61,1.95
Kansas,KS,1979,1.19,0.12,0.74,2.04
Kansas,KS,1978,1.15,0.12,0.65,1.91
Kansas,KS,1977,1.14,0.1,0.65,1.9
Kentucky,KY,2016,0.96,0.22,0.79,1.98
Kentucky,KY,2015,0.99,0.22,0.76,1.97
Kentucky,KY,2014,0.94,0.21,0.72,1.88
Kentucky,KY,2013,0.95,0.2,0.7,1.85
Kentucky,KY,2012,0.97,0.2,0.7,1.87
Kentucky,KY,2011,0.94,0.19,0.66,1.79
Kentucky,KY,2010,1,0.18,0.66,1.83
Kentucky,KY,2009,1.02,0.18,0.65,1.85
Kentucky,KY,2008,1.03,0.17,0.65,1.85
Kentucky,KY,2007,1.04,0.17,0.63,1.85
Kentucky,KY,2006,1.04,0.17,0.62,1.82
Kentucky,KY,2005,1.04,0.14,0.61,1.8
Kentucky,KY,2004,1.07,0.17,0.57,1.81
Kentucky,KY,2003,1.03,0.15,0.57,1.75
Kentucky,KY,2002,1.08,0.14,0.54,1.77
Kentucky,KY,2001,1.04,0.12,0.46,1.63
Kentucky,KY,2000,1.07,0.14,0.53,1.74
Kentucky,KY,1999,1.07,0.13,0.54,1.74
Kentucky,KY,1998,1.08,0.13,0.53,1.74
Kentucky,KY,1997,1.07,0.13,0.53,1.72
Kentucky,KY,1996,1.09,0.13,0.54,1.76
Kentucky,KY,1995,1.06,0.11,0.54,1.71
Kentucky,KY,1994,1.08,0.11,0.55,1.73
Kentucky,KY,1993,1.08,0.1,0.55,1.73
Kentucky,KY,1992,1.04,0.11,0.56,1.71
Kentucky,KY,1991,1.11,0.11,0.56,1.78
Kentucky,KY,1990,1.12,0.11,0.6,1.83
Kentucky,KY,1989,1.09,0.12,0.57,1.79
Kentucky,KY,1988,1.1,0.12,0.6,1.82
Kentucky,KY,1987,1.04,0.14,0.6,1.78
Kentucky,KY,1986,1.1,0.14,0.63,1.86
Kentucky,KY,1985,1.08,0.14,0.66,1.88
Kentucky,KY,1984,1.06,0.13,0.68,1.87
Kentucky,KY,1983,1.13,0.12,0.7,1.95
Kentucky,KY,1982,1.14,0.12,0.72,1.99
Kentucky,KY,1981,1.13,0.1,0.75,1.99
Kentucky,KY,1980,1.08,0.1,0.73,1.91
Kentucky,KY,1979,1.07,0.09,0.75,1.91
Kentucky,KY,1978,1.04,0.09,0.75,1.88
Kentucky,KY,1977,1.16,0.09,0.73,1.98
Louisiana,LA,2016,1.25,0.34,1,2.59
Louisiana,LA,2015,1.27,0.33,0.98,2.59
Louisiana,LA,2014,1.3,0.33,0.95,2.58
Louisiana,LA,2013,1.34,0.32,0.93,2.58
Louisiana,LA,2012,1.38,0.32,0.9,2.59
Louisiana,LA,2011,1.39,0.3,0.88,2.57
Louisiana,LA,2010,1.42,0.28,0.84,2.55
Louisiana,LA,2009,1.5,0.28,0.85,2.63
Louisiana,LA,2008,1.55,0.26,0.83,2.64
Louisiana,LA,2007,1.57,0.27,0.81,2.66
Louisiana,LA,2006,1.59,0.25,0.78,2.63
Louisiana,LA,2005,1.47,0.24,0.71,2.41
Louisiana,LA,2004,1.38,0.26,0.73,2.36
Louisiana,LA,2003,1.41,0.25,0.72,2.38
Louisiana,LA,2002,1.32,0.24,0.7,2.26
Louisiana,LA,2001,1.49,0.23,0.69,2.41
Louisiana,LA,2000,1.51,0.22,0.7,2.44
Louisiana,LA,1999,1.52,0.24,0.69,2.45
Louisiana,LA,1998,1.48,0.23,0.7,2.4
Louisiana,LA,1997,1.51,0.23,0.71,2.44
Louisiana,LA,1996,1.52,0.22,0.72,2.46
Louisiana,LA,1995,1.51,0.21,0.73,2.46
Louisiana,LA,1994,1.45,0.21,0.73,2.39
Louisiana,LA,1993,1.53,0.21,0.72,2.47
Louisiana,LA,1992,1.55,0.22,0.74,2.51
Louisiana,LA,1991,1.52,0.21,0.73,2.46
Louisiana,LA,1990,1.53,0.23,0.78,2.54
Louisiana,LA,1989,1.47,0.24,0.74,2.45
Louisiana,LA,1988,1.49,0.24,0.71,2.44
Louisiana,LA,1987,1.4,0.25,0.77,2.41
Louisiana,LA,1986,1.42,0.26,0.79,2.47
Louisiana,LA,1985,1.37,0.28,0.87,2.52
Louisiana,LA,1984,1.42,0.29,0.95,2.66
Louisiana,LA,1983,1.44,0.31,1.03,2.77
Louisiana,LA,1982,1.49,0.3,1,2.78
Louisiana,LA,1981,1.49,0.28,1.02,2.79
Louisiana,LA,1980,1.4,0.27,1.03,2.7
Louisiana,LA,1979,1.32,0.25,1.04,2.61
Louisiana,LA,1978,1.32,0.25,1.04,2.6
Louisiana,LA,1977,1.27,0.25,1,2.51
Maine,ME,2016,1.36,0.44,1.01,2.81
Maine,ME,2015,1.37,0.44,0.97,2.78
Maine,ME,2014,1.36,0.42,0.93,2.71
Maine,ME,2013,1.36,0.42,0.91,2.69
Maine,ME,2012,1.34,0.42,0.89,2.65
Maine,ME,2011,1.31,0.42,0.87,2.6
Maine,ME,2010,1.3,0.42,0.84,2.56
Maine,ME,2009,1.31,0.42,0.82,2.55
Maine,ME,2008,1.33,0.42,0.81,2.56
Maine,ME,2007,1.35,0.42,0.8,2.57
Maine,ME,2006,1.34,0.42,0.78,2.54
Maine,ME,2005,1.34,0.41,0.77,2.52
Maine,ME,2004,1.26,0.41,0.76,2.44
Maine,ME,2003,1.25,0.4,0.74,2.39
Maine,ME,2002,1.23,0.4,0.7,2.33
Maine,ME,2001,1.21,0.37,0.7,2.28
Maine,ME,2000,1.17,0.38,0.68,2.23
Maine,ME,1999,1.16,0.36,0.69,2.21
Maine,ME,1998,1.14,0.33,0.69,2.16
Maine,ME,1997,1.16,0.32,0.68,2.16
Maine,ME,1996,1.21,0.32,0.69,2.22
Maine,ME,1995,1.14,0.28,0.7,2.12
Maine,ME,1994,1.13,0.27,0.77,2.18
Maine,ME,1993,1.15,0.29,0.79,2.22
Maine,ME,1992,1.16,0.29,0.78,2.23
Maine,ME,1991,1.18,0.3,0.77,2.25
Maine,ME,1990,1.21,0.31,0.82,2.34
Maine,ME,1989,1.26,0.34,0.86,2.46
Maine,ME,1988,1.29,0.36,0.91,2.55
Maine,ME,1987,1.27,0.38,0.91,2.56
Maine,ME,1986,1.29,0.36,0.92,2.57
Maine,ME,1985,1.29,0.33,0.94,2.56
Maine,ME,1984,1.25,0.31,1.02,2.57
Maine,ME,1983,1.32,0.29,1.03,2.64
Maine,ME,1982,1.3,0.3,1.02,2.62
Maine,ME,1981,1.24,0.28,1.05,2.57
Maine,ME,1980,1.32,0.28,1.06,2.66
Maine,ME,1979,1.27,0.27,1.05,2.59
Maine,ME,1978,1.28,0.26,1.03,2.57
Maine,ME,1977,1.35,0.23,1.02,2.6
Maryland,MD,2016,0.83,0.4,0.92,2.15
Maryland,MD,2015,0.85,0.39,0.9,2.14
Maryland,MD,2014,0.86,0.39,0.9,2.15
Maryland,MD,2013,0.88,0.39,0.9,2.17
Maryland,MD,2012,0.91,0.39,0.9,2.2
Maryland,MD,2011,0.92,0.39,0.89,2.19
Maryland,MD,2010,0.94,0.38,0.89,2.21
Maryland,MD,2009,0.96,0.36,0.86,2.19
Maryland,MD,2008,0.99,0.36,0.84,2.19
Maryland,MD,2007,1.01,0.36,0.84,2.2
Maryland,MD,2006,1.01,0.34,0.83,2.18
Maryland,MD,2005,1.02,0.34,0.81,2.16
Maryland,MD,2004,1.03,0.33,0.79,2.15
Maryland,MD,2003,1.03,0.32,0.77,2.12
Maryland,MD,2002,1.06,0.31,0.76,2.12
Maryland,MD,2001,1.06,0.3,0.75,2.11
Maryland,MD,2000,1.04,0.3,0.75,2.09
Maryland,MD,1999,1.04,0.3,0.74,2.08
Maryland,MD,1998,1.05,0.3,0.73,2.08
Maryland,MD,1997,1.08,0.29,0.73,2.11
Maryland,MD,1996,1.05,0.29,0.74,2.08
Maryland,MD,1995,1.06,0.28,0.74,2.09
Maryland,MD,1994,1.09,0.28,0.78,2.15
Maryland,MD,1993,1.1,0.28,0.8,2.19
Maryland,MD,1992,1.11,0.29,0.86,2.26
Maryland,MD,1991,1.15,0.3,0.89,2.33
Maryland,MD,1990,1.22,0.33,0.96,2.51
Maryland,MD,1989,1.2,0.34,0.97,2.52
Maryland,MD,1988,1.24,0.36,1,2.6
Maryland,MD,1987,1.28,0.38,1.06,2.71
Maryland,MD,1986,1.28,0.38,1.07,2.73
Maryland,MD,1985,1.3,0.36,1.14,2.8
Maryland,MD,1984,1.31,0.36,1.17,2.84
Maryland,MD,1983,1.34,0.35,1.2,2.89
Maryland,MD,1982,1.27,0.32,1.16,2.76
Maryland,MD,1981,1.39,0.34,1.33,3.06
Maryland,MD,1980,1.41,0.33,1.35,3.08
Maryland,MD,1979,1.43,0.31,1.39,3.13
Maryland,MD,1978,1.4,0.31,1.38,3.09
Maryland,MD,1977,1.36,0.3,1.38,3.05
Massachusetts,MA,2016,0.95,0.65,0.97,2.57
Massachusetts,MA,2015,0.97,0.65,0.91,2.52
Massachusetts,MA,2014,0.98,0.66,0.91,2.55
Massachusetts,MA,2013,1,0.66,0.89,2.56
Massachusetts,MA,2012,1.03,0.65,0.88,2.57
Massachusetts,MA,2011,1.02,0.64,0.88,2.54
Massachusetts,MA,2010,1.04,0.62,0.84,2.5
Massachusetts,MA,2009,1.03,0.62,0.85,2.49
Massachusetts,MA,2008,1.08,0.62,0.84,2.54
Massachusetts,MA,2007,1.11,0.62,0.87,2.59
Massachusetts,MA,2006,1.1,0.61,0.85,2.56
Massachusetts,MA,2005,1.07,0.59,0.85,2.51
Massachusetts,MA,2004,1.1,0.58,0.84,2.52
Massachusetts,MA,2003,1.1,0.56,0.82,2.49
Massachusetts,MA,2002,1.13,0.54,0.8,2.47
Massachusetts,MA,2001,1.13,0.52,0.79,2.44
Massachusetts,MA,2000,1.16,0.51,0.87,2.55
Massachusetts,MA,1999,1.09,0.51,0.79,2.39
Massachusetts,MA,1998,1.14,0.5,0.75,2.39
Massachusetts,MA,1997,1.13,0.49,0.76,2.39
Massachusetts,MA,1996,1.11,0.48,0.77,2.35
Massachusetts,MA,1995,1.13,0.44,0.78,2.35
Massachusetts,MA,1994,1.14,0.44,0.8,2.38
Massachusetts,MA,1993,1.14,0.44,0.8,2.38
Massachusetts,MA,1992,1.12,0.44,0.82,2.38
Massachusetts,MA,1991,1.19,0.43,0.87,2.49
Massachusetts,MA,1990,1.22,0.45,0.97,2.63
Massachusetts,MA,1989,1.24,0.46,1,2.7
Massachusetts,MA,1988,1.27,0.49,1.05,2.81
Massachusetts,MA,1987,1.27,0.5,1.11,2.88
Massachusetts,MA,1986,1.29,0.52,1.11,2.92
Massachusetts,MA,1985,1.28,0.5,1.19,2.97
Massachusetts,MA,1984,1.29,0.5,1.23,3.02
Massachusetts,MA,1983,1.36,0.49,1.2,3.05
Massachusetts,MA,1982,1.35,0.5,1.22,3.07
Massachusetts,MA,1981,1.44,0.49,1.24,3.17
Massachusetts,MA,1980,1.46,0.45,1.26,3.18
Massachusetts,MA,1979,1.4,0.43,1.24,3.07
Massachusetts,MA,1978,1.38,0.41,1.26,3.05
Massachusetts,MA,1977,1.35,0.37,1.25,2.97
Michigan,MI,2016,1.04,0.39,0.91,2.34
Michigan,MI,2015,0.99,0.37,0.89,2.25
Michigan,MI,2014,1.05,0.39,0.88,2.32
Michigan,MI,2013,1.02,0.37,0.85,2.24
Michigan,MI,2012,1.08,0.35,0.84,2.27
Michigan,MI,2011,1.07,0.35,0.83,2.25
Michigan,MI,2010,1.09,0.33,0.81,2.23
Michigan,MI,2009,1.11,0.32,0.8,2.23
Michigan,MI,2008,1.13,0.3,0.79,2.22
Michigan,MI,2007,1.13,0.3,0.77,2.19
Michigan,MI,2006,1.13,0.29,0.76,2.18
Michigan,MI,2005,1.15,0.28,0.74,2.16
Michigan,MI,2004,1.16,0.27,0.72,2.15
Michigan,MI,2003,1.17,0.28,0.72,2.17
Michigan,MI,2002,1.19,0.25,0.69,2.13
Michigan,MI,2001,1.18,0.23,0.68,2.09
Michigan,MI,2000,1.2,0.24,0.68,2.13
Michigan,MI,1999,1.2,0.24,0.67,2.11
Michigan,MI,1998,1.2,0.22,0.68,2.1
Michigan,MI,1997,1.19,0.22,0.66,2.07
Michigan,MI,1996,1.22,0.22,0.66,2.09
Michigan,MI,1995,1.2,0.19,0.66,2.06
Michigan,MI,1994,1.23,0.2,0.67,2.1
Michigan,MI,1993,1.26,0.2,0.72,2.18
Michigan,MI,1992,1.26,0.22,0.74,2.21
Michigan,MI,1991,1.3,0.22,0.74,2.26
Michigan,MI,1990,1.33,0.28,0.8,2.42
Michigan,MI,1989,1.29,0.3,0.8,2.39
Michigan,MI,1988,1.32,0.32,0.84,2.48
Michigan,MI,1987,1.32,0.33,0.85,2.51
Michigan,MI,1986,1.33,0.33,0.9,2.57
Michigan,MI,1985,1.31,0.32,0.96,2.59
Michigan,MI,1984,1.33,0.31,0.98,2.61
Michigan,MI,1983,1.36,0.28,0.98,2.62
Michigan,MI,1982,1.35,0.39,0.99,2.73
Michigan,MI,1981,1.34,0.29,1,2.63
Michigan,MI,1980,1.34,0.28,1.02,2.65
Michigan,MI,1979,1.36,0.25,1.03,2.65
Michigan,MI,1978,1.43,0.25,1.05,2.74
Michigan,MI,1977,1.45,0.24,1.02,2.71
Minnesota,MN,2016,1.15,0.44,1.17,2.77
Minnesota,MN,2015,1.16,0.43,1.14,2.73
Minnesota,MN,2014,1.14,0.44,1.23,2.81
Minnesota,MN,2013,1.13,0.43,1.16,2.72
Minnesota,MN,2012,1.18,0.42,1.11,2.71
Minnesota,MN,2011,1.13,0.34,0.99,2.47
Minnesota,MN,2010,1.14,0.33,0.97,2.44
Minnesota,MN,2009,1.19,0.37,1.04,2.59
Minnesota,MN,2008,1.21,0.36,1.03,2.6
Minnesota,MN,2007,1.23,0.36,1.01,2.6
Minnesota,MN,2006,1.15,0.32,0.93,2.4
Minnesota,MN,2005,1.18,0.33,0.97,2.48
Minnesota,MN,2004,1.24,0.31,0.94,2.5
Minnesota,MN,2003,1.22,0.29,0.91,2.43
Minnesota,MN,2002,1.26,0.28,0.88,2.41
Minnesota,MN,2001,1.25,0.26,0.88,2.39
Minnesota,MN,2000,1.24,0.26,0.87,2.37
Minnesota,MN,1999,1.23,0.27,0.86,2.36
Minnesota,MN,1998,1.16,0.27,0.84,2.27
Minnesota,MN,1997,1.2,0.27,0.84,2.31
Minnesota,MN,1996,1.23,0.26,0.83,2.31
Minnesota,MN,1995,1.29,0.25,0.83,2.38
Minnesota,MN,1994,1.27,0.25,0.83,2.35
Minnesota,MN,1993,1.24,0.24,0.84,2.33
Minnesota,MN,1992,1.25,0.25,0.85,2.35
Minnesota,MN,1991,1.3,0.24,0.81,2.35
Minnesota,MN,1990,1.32,0.27,0.96,2.55
Minnesota,MN,1989,1.29,0.27,0.89,2.46
Minnesota,MN,1988,1.31,0.3,0.9,2.51
Minnesota,MN,1987,1.32,0.32,0.94,2.58
Minnesota,MN,1986,1.31,0.34,0.93,2.57
Minnesota,MN,1985,1.31,0.31,1.06,2.68
Minnesota,MN,1984,1.34,0.28,1.07,2.69
Minnesota,MN,1983,1.38,0.27,1.1,2.74
Minnesota,MN,1982,1.37,0.27,1.11,2.75
Minnesota,MN,1981,1.39,0.27,1.18,2.84
Minnesota,MN,1980,1.39,0.26,1.2,2.85
Minnesota,MN,1979,1.36,0.24,1.17,2.77
Minnesota,MN,1978,1.32,0.23,1.16,2.71
Minnesota,MN,1977,1.31,0.21,1.16,2.67
Mississippi,MS,2016,1.28,0.17,0.77,2.23
Mississippi,MS,2015,1.31,0.17,0.77,2.24
Mississippi,MS,2014,1.32,0.16,0.75,2.23
Mississippi,MS,2013,1.35,0.16,0.73,2.24
Mississippi,MS,2012,1.37,0.16,0.71,2.24
Mississippi,MS,2011,1.36,0.16,0.71,2.22
Mississippi,MS,2010,1.37,0.15,0.7,2.22
Mississippi,MS,2009,1.41,0.15,0.7,2.26
Mississippi,MS,2008,1.44,0.15,0.7,2.28
Mississippi,MS,2007,1.45,0.14,0.68,2.26
Mississippi,MS,2006,1.43,0.13,0.67,2.23
Mississippi,MS,2005,1.4,0.13,0.65,2.18
Mississippi,MS,2004,1.38,0.13,0.63,2.14
Mississippi,MS,2003,1.38,0.12,0.63,2.13
Mississippi,MS,2002,1.41,0.12,0.61,2.13
Mississippi,MS,2001,1.4,0.11,0.6,2.11
Mississippi,MS,2000,1.43,0.11,0.61,2.14
Mississippi,MS,1999,1.42,0.11,0.61,2.14
Mississippi,MS,1998,1.39,0.09,0.59,2.08
Mississippi,MS,1997,1.39,0.09,0.61,2.09
Mississippi,MS,1996,1.42,0.1,0.62,2.14
Mississippi,MS,1995,1.37,0.1,0.61,2.09
Mississippi,MS,1994,1.28,0.08,0.63,2
Mississippi,MS,1993,1.37,0.1,0.63,2.11
Mississippi,MS,1992,1.35,0.09,0.63,2.08
Mississippi,MS,1991,1.32,0.09,0.64,2.05
Mississippi,MS,1990,1.34,0.09,0.65,2.08
Mississippi,MS,1989,1.28,0.09,0.66,2.04
Mississippi,MS,1988,1.3,0.09,0.67,2.06
Mississippi,MS,1987,1.28,0.09,0.66,2.04
Mississippi,MS,1986,1.28,0.1,0.69,2.07
Mississippi,MS,1985,1.22,0.1,0.74,2.07
Mississippi,MS,1984,1.2,0.11,0.77,2.08
Mississippi,MS,1983,1.2,0.11,0.8,2.1
Mississippi,MS,1982,1.18,0.11,0.81,2.1
Mississippi,MS,1981,1.19,0.11,0.84,2.13
Mississippi,MS,1980,1.13,0.1,0.86,2.09
Mississippi,MS,1979,1.1,0.09,0.81,2
Mississippi,MS,1978,1.11,0.1,0.88,2.09
Mississippi,MS,1977,1.04,0.1,0.83,1.98
Missouri,MO,2016,1.15,0.38,0.96,2.49
Missouri,MO,2015,1.17,0.39,0.97,2.53
Missouri,MO,2014,1.16,0.36,0.88,2.4
Missouri,MO,2013,1.19,0.36,0.89,2.44
Missouri,MO,2012,1.22,0.34,0.86,2.42
Missouri,MO,2011,1.24,0.34,0.86,2.45
Missouri,MO,2010,1.27,0.32,0.81,2.41
Missouri,MO,2009,1.3,0.3,0.83,2.43
Missouri,MO,2008,1.32,0.3,0.8,2.42
Missouri,MO,2007,1.33,0.3,0.78,2.4
Missouri,MO,2006,1.33,0.28,0.76,2.37
Missouri,MO,2005,1.31,0.27,0.73,2.3
Missouri,MO,2004,1.33,0.27,0.72,2.32
Missouri,MO,2003,1.34,0.26,0.7,2.29
Missouri,MO,2002,1.36,0.25,0.67,2.27
Missouri,MO,2001,1.34,0.23,0.67,2.25
Missouri,MO,2000,1.35,0.23,0.67,2.25
Missouri,MO,1999,1.35,0.23,0.66,2.23
Missouri,MO,1998,1.33,0.23,0.63,2.18
Missouri,MO,1997,1.3,0.22,0.63,2.15
Missouri,MO,1996,1.31,0.22,0.57,2.1
